School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Lakshadweep,Total,97.51,105.44,97.09,58.71,62.2,59.05,54.48,72.6,69.9,83
Upper Primary School,Lakshadweep,Boy,NA,NA,NA,57.45,57.95,59.16,56.88,73.5,66.8,74
Upper Primary School,Lakshadweep,Girl,NA,NA,NA,60.4,67.87,58.94,52.08,71.6,73.3,93
Upper Primary School,Madhya Pradesh,Total,59.27,63.5,63.3,83.29,91.67,96.03,99.98,101.9,103.5,101.4
Upper Primary School,Madhya Pradesh,Boy,NA,NA,NA,89.41,97.51,101.6,104.17,105.6,105.9,100.2
Upper Primary School,Madhya Pradesh,Girl,NA,NA,NA,76.52,85.26,89.98,95.45,97.9,101,102.6
Upper Primary School,Maharashtra,Total,90.14,86.97,87.55,98.08,84.05,101.51,86.82,89.1,89.3,92.4
Upper Primary School,Maharashtra,Boy,NA,NA,NA,98.96,84.01,100.95,88.46,90.8,91.5,95.1
Upper Primary School,Maharashtra,Girl,NA,NA,NA,97.09,84.11,102.12,85.03,87.2,86.9,89.6
Upper Primary School,Manipur,Total,77.86,80.46,84.33,94.69,97.72,102.64,104.31,105.4,105.1,104.6
Upper Primary School,Manipur,Boy,NA,NA,NA,97.72,100.98,106.07,107.57,109.1,109.1,108.5
Upper Primary School,Manipur,Girl,NA,NA,NA,91.53,94.32,99.06,100.92,101.5,101,100.8
Upper Primary School,Meghalaya,Total,60.83,53.08,61.14,76.45,86.34,101.76,103.32,82.3,82.6,91
Upper Primary School,Meghalaya,Boy,NA,NA,NA,72.08,83.76,98.12,99.71,78,78.4,85.9
Upper Primary School,Meghalaya,Girl,NA,NA,NA,80.96,88.98,105.49,107,86.7,86.9,96.2
Upper Primary School,Mizoram,Total,79.95,78.47,76.98,81.77,117.99,86.72,85.65,99.7,104.9,104.8
Upper Primary School,Mizoram,Boy,NA,NA,NA,82.19,118.09,87.5,86.3,101.6,107.6,108.2
Upper Primary School,Mizoram,Girl,NA,NA,NA,81.33,117.88,85.91,84.97,97.7,102.1,101.3
Upper Primary School,Nagaland,Total,60.26,35.1,44.66,55.6,60.31,60.77,60.08,58.2,58.4,60
Upper Primary School,Nagaland,Boy,NA,NA,NA,55.68,59.11,59.74,58.93,57.6,57.9,59.4
Upper Primary School,Nagaland,Girl,NA,NA,NA,55.5,61.62,61.89,61.34,58.9,58.9,60.7
